Id,CAS,SMILES,Status,Experimental value,Predicted value
1,50-00-0,O=C,Training,0.35,0.229
2,50-02-2,O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C),Training,1.89,1.7742
3,50-03-3,O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))C,Training,2.19,2.4101
4,50-06-6,O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC,Training,1.47,1.0743
5,50-07-7,O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N,Training,-0.4,-3.4834
6,50-11-3,O=C1NC(=O)C(C(=O)N1C)(CC)CC,Training,1.15,1.0051
7,50-12-4,O=C2NC(c1ccccc1)(C(=O)N2C)CC,Training,1.69,2.7867
8,50-18-0,O=P1(OCCCN1)N(CCCl)CCCl,Training,0.63,0.9736
9,50-21-5,O=C(O)C(O)C,Training,-0.72,-0.649
10,50-22-6,O=C3C=C2CCC1C4CCC(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3),Training,1.94,1.1233
11,50-23-7,O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3),Training,1.61,1.6685
12,50-24-8,O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C),Training,1.62,1.4535
13,50-27-1,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34),Training,2.45,3.4952
14,50-28-2,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34),Training,4.01,4.6271
15,50-29-3,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,Training,6.91,7.3103
16,50-30-6,O=C(O)c1c(cccc1Cl)Cl,Training,2.23,3.1634
17,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,Training,6.13,6.109
18,50-35-1,O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3,Training,0.33,-0.3193
19,50-36-2,O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3,Training,2.3,2.5116
20,50-37-3,O=C(N(CC)CC)C4C=C3c2cccc1[nH]cc(c12)CC3N(C)C4,Training,2.95,2.7403
21,50-47-5,c1ccc3c(c1)N(c2ccccc2CC3)CCCNC,Training,4.9,5.2636
22,50-48-6,c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3,Training,4.92,5.7509
23,50-49-7,c1ccc3c(c1)N(c2ccccc2CC3)CCCN(C)C,Training,4.8,5.4748
24,50-52-2,c1ccc3c(c1)N(c2cc(ccc2S3)SC)CCC4N(C)CCCC4,Training,5.9,6.3808
25,50-67-9,Oc1ccc2[nH]cc(c2(c1))CCN,Training,0.21,1.142
26,50-70-4,OCC(O)C(O)C(O)C(O)CO,Training,-2.72,-4.1996
27,50-71-5,O=C1NC(=O)C(=O)C(=O)N1,Training,-1.84,1.3981
28,50-78-2,O=C(O)c1ccccc1(OC(=O)C),Training,1.19,1.4712
29,50-79-3,O=C(O)c1cc(ccc1Cl)Cl,Training,2.82,3.1634
30,50-85-1,O=C(O)c1ccc(cc1(O))C,Training,2.99,3.9115
31,50-86-2,O=C(O)c1ccc(cc1(O))NC(=O)C,Training,1.62,2.1199
32,50-89-5,O=C1NC(=O)N(C=C1C)C2OC(CO)C(O)C2,Training,-0.93,-1.192
33,50-91-9,O=C1NC(=O)N(C=C1(F))C2OC(CO)C(O)C2,Training,-1.16,-1.6848
34,51-03-6,O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC,Training,4.75,4.2907
35,51-06-9,O=C(NCCN(CC)CC)c1ccc(N)cc1,Training,0.88,0.9664
36,51-12-7,O=C(NNCCC(=O)NCc1ccccc1)c2ccncc2,Training,0.87,0.3225
37,51-17-2,n1c[nH]c2ccccc12,Training,1.32,1.2346
38,51-28-5,O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-],Training,1.67,1.1482
39,51-34-3,O=C(OC1CC3N(C)C(C1)C2OC23)C(c4ccccc4)CO,Training,0.98,0.734
40,51-35-4,O=C(O)C1NCC(O)C1,Training,-3.17,-4.8603
41,51-36-5,O=C(O)c1cc(cc(c1)Cl)Cl,Training,3,3.1634
42,51-41-2,Oc1ccc(cc1(O))C(O)CN,Training,-1.24,-1.1609
43,51-43-4,Oc1ccc(cc1(O))C(O)CNC,Training,-1.37,-0.695
44,51-44-5,O=C(O)c1ccc(c(c1)Cl)Cl,Training,3.25,3.1634
45,51-45-6,n1c[nH]cc1CCN,Training,-0.7,-0.374
46,51-55-8,O=C(OC2CC1N(C)C(CC1)C2)C(c3ccccc3)CO,Training,1.83,2.25
47,51-61-6,Oc1ccc(cc1(O))CCN,Training,-0.98,0.3774
48,51-66-1,O=C(Nc1ccc(OC)cc1)C,Training,1.03,1.1806
49,51-75-2,N(C)(CCCl)CCCl,Training,0.91,1.5288
50,51-79-6,O=C(OCC)N,Training,-0.15,-0.0191
51,52-01-7,O=C1OC3(CC1)(CCC2C5C(CCC23(C))C4(C(=CC(=O)CC4)CC5SC(=O)C)(C)),Training,2.52,3.1402
52,52-24-4,N1(CC1)P(N2CC2)(N3CC3)=S,Training,0.53,1.8655
53,52-31-3,O=C1NC(=O)C(C(=O)N1)(C2=CCCCC2)CC,Training,1.77,2.4871
54,52-43-7,O=C1NC(=O)C(C(=O)N1)(CC=C)CC=C,Training,1.15,1.5033
55,52-44-8,O=C1NC(=O)C2(C(=O)N1)(CCCCC2),Training,0.91,1.1726
56,52-45-9,O=C1NC(NC(=O)C12(CCCCC2))=S,Training,1.78,1.553
57,52-52-8,O=C(O)C1(N)(CCCC1),Training,-2.28,-1.6671
58,52-53-9,N#CC(c1ccc(OC)c(OC)c1)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C,Training,3.79,5.8303
59,52-68-6,O=P(OC)(OC)C(O)C(Cl)(Cl)Cl,Training,0.51,-0.277
60,52-85-7,O=S(=O)(c1ccc(OP(OC)(OC)=S)cc1)N(C)C,Training,2.23,2.6441
61,52-86-8,O=C(c1ccc(F)cc1)CCCN3CCC(O)(c2ccc(cc2)Cl)CC3,Training,4.3,4.1996
62,52-90-4,O=C(O)C(N)CS,Training,-2.49,-3.0467
63,53-03-2,O=C1C=CC4(C(=C1)CCC3C4(C(=O)CC2(C)(C3(CCC2(O)(C(=O)CO)))))(C),Training,1.46,0.9421
64,53-06-5,O=C4C=C3CCC2C(C(=O)CC1(C)(C2(CCC1(O)(C(=O)CO))))C3(C)CC4,Training,1.47,1.1571
65,53-16-7,O=C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C)),Training,3.13,4.1157
66,53-41-8,O=C2CCC3C4CCC1CC(O)CCC1(C)C4(CCC23(C)),Training,3.69,3.408
67,53-43-0,O=C2CCC3C4CC=C1CC(O)CCC1(C)C4(CCC23(C)),Training,3.23,3.3227
68,53-70-3,c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45,Training,6.75,6.697
69,53-79-2,O=C(NC1C(O)C(OC1(CO))n3cnc2c3(ncnc2N(C)C))C(N)Cc4ccc(OC)cc4,Training,0.03,-2.0745
70,53-86-1,O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C,Training,4.27,4.3206
71,54-04-6,O(c1cc(cc(OC)c1(OC))CCN)C,Training,0.78,1.5805
72,54-05-7,n1ccc(NC(C)CCCN(CC)CC)c2ccc(cc12)Cl,Training,4.63,4.3345
73,54-11-5,n1cccc(c1)C2N(C)CCC2,Training,1.17,1.5163
74,54-12-6,O=C(O)C(N)Cc2c[nH]c1ccccc12,Training,-1.06,-1.2208
75,54-31-9,O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N,Training,2.03,1.604
76,54-32-0,O=C(Oc1cc(c(OCCN(C)C)cc1C)C(C)C)C,Training,3.17,3.3712
77,54-42-2,O=C1NC(=O)N(C=C1I)C2OC(CO)C(O)C2,Training,-0.96,-0.9247
78,54-49-9,Oc1cccc(c1)C(O)C(N)C,Training,-0.27,-0.2631
79,54-80-8,OC(c1ccc2ccccc2(c1))CNC(C)C,Training,3,2.3501
80,54-85-3,O=C(NN)c1ccncc1,Training,-0.7,-1.9466
81,54-92-2,O=C(NNC(C)C)c1ccncc1,Training,0.37,0.561
82,55-18-5,O=NN(CC)CC,Training,0.48,0.3436
83,55-21-0,O=C(N)c1ccccc1,Training,0.64,0.7381
84,55-22-1,O=C(O)c1ccncc1,Training,0.32,0.6859
85,55-38-9,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S,Training,4.09,4.6843
86,55-63-0,O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-],Training,1.62,2.2182
87,56-12-2,O=C(O)CCCN,Training,-3.17,-3.602
88,56-23-5,C(Cl)(Cl)(Cl)Cl,Training,2.83,2.4421
89,56-29-1,O=C1NC(=O)C(C(=O)N1C)(C2=CCCCC2)C,Training,1.98,2.2072
90,56-38-2,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,Training,3.83,4.3896
91,56-40-6,O=C(O)CN,Training,-3.21,-3.408
92,56-41-7,O=C(O)C(N)C,Training,-2.91,-2.9904
93,56-47-3,O=C(OCC(=O)C2CCC3C4CCC1=CC(=O)CCC1(C)C4(CCC23(C)))C,Training,3.08,3.2606
94,56-49-5,c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C),Training,6.42,7.0505
95,56-53-1,Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC,Training,5.07,5.6406
96,56-54-2,OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C=C)C4,Training,3.44,3.1325
97,56-55-3,c3ccc4cc2c(ccc1ccccc12)cc4(c3),Training,5.76,5.521
98,56-72-4,O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C,Training,4.13,5.4282
99,56-75-7,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl,Training,1.14,0.6934
100,56-81-5,OCC(O)CO,Training,-1.76,-2.2468
101,56-84-8,O=C(O)CC(N)C(=O)O,Training,-3.89,-4.3226
102,56-85-9,O=C(O)C(N)CCC(=O)N,Training,-3.64,-4.4939
103,56-86-0,O=C(O)CCC(N)C(=O)O,Training,-3.69,-3.8315
104,56-87-1,O=C(O)C(N)CCCCN,Training,-3.05,-2.9881
105,56-89-3,O=C(O)C(N)CSSCC(N)C(=O)O,Training,-5.08,-4.3352
106,56-91-7,O=C(O)c1ccc(cc1)CN,Training,1.03,0.9507
107,57-10-3,O=C(O)CCCCCCCCCCCCCCC,Training,7.17,6.9622
108,57-11-4,O=C(O)CCCCCCCCCCCCCCCCC,Training,8.23,7.9444
109,57-13-6,O=C(N)N,Training,-2.11,-1.5553
110,57-15-8,OC(C)(C)C(Cl)(Cl)Cl,Training,2.03,2.0855
111,57-24-9,O=C2N6c1ccccc1C57(CCN4CC3=CCOC(C2)C(C3CC45)C67),Training,1.93,2.1225
112,57-27-2,Oc5ccc4c1c5(OC2C(O)C=CC3C(N(C)CCC123)C4),Training,0.89,1.7418
113,57-42-1,O=C(OCC)C2(c1ccccc1)(CCN(C)CC2),Training,2.72,3.0279
114,57-43-2,O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C,Training,2.07,2.1937
115,57-44-3,O=C1NC(=O)C(C(=O)N1)(CC)CC,Training,0.65,0.7939
116,57-47-6,O=C(Oc1ccc2c(c1)C3(C)(CCN(C)C3(N2C)))NC,Training,1.58,1.231
117,57-50-1,OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O),Training,-3.7,-0.3552
118,57-53-4,O=C(OCC(C)(COC(=O)N)CCC)N,Training,0.7,0.9826
119,57-55-6,OCC(O)C,Training,-0.92,-0.782
120,57-63-6,C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C))),Training,3.67,5.0667
121,57-66-9,O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC,Training,3.21,2.8932
122,57-68-1,O=S(=O)(Nc1nc(cc(n1)C)C)c2ccc(N)cc2,Training,0.89,0.7569
123,57-74-9,C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,6.16,6.2599
124,57-83-0,O=C4C=C3CCC1C(CCC2(C)(C(C(=O)C)CCC12))C3(C)CC4,Training,3.87,3.72
125,57-96-5,O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCS(=O)c4ccccc4,Training,2.3,3.3343
126,57-97-6,c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C,Training,5.8,6.6156
127,58-00-4,Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4,Training,2.3,2.9011
128,58-14-0,n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N,Training,2.69,2.4097
129,58-18-4,O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C))))C3(C)CC4,Training,3.36,3.7762
130,58-19-5,O=C2CC3CCC1C4CCC(O)C4(C)(CCC1C3(C)(CC2C)),Training,3.99,3.8256
131,58-22-0,O=C4C=C3CCC1C(CCC2(C)(C(O)CCC12))C3(C)CC4,Training,3.32,3.3227
132,58-27-5,O=C1C=C(C(=O)c2ccccc12)C,Training,2.2,2.2081
133,58-37-7,c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)CN(C)C,Training,4.76,3.6787
134,58-38-8,c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN4CCN(C)CC4,Training,4.88,4.7754
135,58-39-9,OCCN1CCN(CC1)CCCN4c2ccccc2Sc3ccc(cc34)Cl,Training,4.2,3.8017
136,58-40-2,c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C,Training,4.55,4.5461
137,58-55-9,O=C2c1[nH]cnc1N(C(=O)N2C)C,Training,-0.03,0.2165
138,58-73-1,O(CCN(C)C)C(c1ccccc1)c2ccccc2,Training,3.27,3.1063
139,58-74-2,n2ccc1cc(OC)c(OC)cc1c2Cc3ccc(OC)c(OC)c3,Training,2.95,4.5592
140,58-89-9,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Training,3.86,4.2586
141,58-90-2,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,Training,4.45,4.0908
142,58-93-5,O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O),Training,-0.07,-1.1152
143,59-05-2,O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(nc3(N))N)C(=O)O,Training,-1.85,-1.9868
144,59-07-4,O=C(O)c1ccc(N)cc1(OCC),Training,0.99,1.5294
145,59-14-3,O=C1NC(=O)N(C=C1Br)C2OC(CO)C(O)C2,Training,-0.29,-1.346
146,59-26-7,O=C(c1cnccc1)N(CC)CC,Training,0.33,1.2089
147,59-40-5,O=S(=O)(Nc1nc2ccccc2(nc1))c3ccc(N)cc3,Training,1.68,1.6949
148,59-42-7,Oc1cccc(c1)C(O)CNC,Training,-0.31,-0.2148
149,59-46-1,O=C(OCCN(CC)CC)c1ccc(N)cc1,Training,2.14,1.9859
150,59-47-2,OCC(O)COc1ccccc1C,Training,1.41,1.0067
151,59-50-7,Oc1ccc(c(c1)C)Cl,Training,3.1,2.7046
152,59-61-0,OC(c1ccc(c(c1)Cl)Cl)CNC(C)C,Training,3.32,2.4631
153,59-63-2,O=C(NNCc1ccccc1)c2noc(c2)C,Training,1.49,1.6454
154,59-66-5,O=C(Nc1nnc(s1)S(=O)(=O)N)C,Training,-0.26,-2.3432
155,59-67-6,O=C(O)c1cnccc1,Training,0.36,0.6859
156,59-87-0,O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-],Training,0.23,-0.6853
157,59-89-2,O=NN1CCOCC1,Training,-0.44,-1.0254
158,59-92-7,O=C(O)C(N)Cc1ccc(O)c(O)c1,Training,-2.57,-2.4656
159,59-98-3,N1=C(NCC1)Cc2ccccc2,Training,2.65,2.7188
160,60-09-3,N(=Nc1ccc(N)cc1)c2ccccc2,Training,3.41,3.5482
161,60-11-7,N(=Nc1ccc(cc1)N(C)C)c2ccccc2,Training,4.58,4.6428
162,60-12-8,OCCc1ccccc1,Training,1.36,1.5666
163,60-17-3,O=C(O)C(N)Cc1ccc(F)cc1,Training,-1.89,-1.3048
164,60-18-4,O=C(O)C(N)Cc1ccc(O)cc1,Training,-2.15,-1.9854
165,60-29-7,O(CC)CC,Training,0.89,1.0492
166,60-32-2,O=C(O)CCCCCN,Training,-2.95,-2.6198
167,60-33-3,O=C(O)CCCCCCCC=CCC=CCCCCC,Training,7.05,7.5144
168,60-34-4,NNC,Training,-1.05,-2.1347
169,60-35-5,O=C(N)C,Training,-1.26,-1.1621
170,60-51-5,O=C(NC)CSP(OC)(OC)=S,Training,0.78,0.9368
171,60-57-1,O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl,Training,5.3,4.4215
172,60-80-0,O=C1C=C(N(N1c2ccccc2)C)C,Training,0.38,2.0431
173,60-87-7,c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)C,Training,4.81,4.4726
174,60-92-4,O=P3(O)(OCC4OC(n2cnc1c(ncnc12)N)C(O)C4(O3)),Training,-2.96,-3.5884
175,60-99-1,O(c1ccc3c(c1)N(c2ccccc2S3)CC(C)CN(C)C)C,Training,4.68,5.0446
176,61-01-8,O(c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C)C,Training,4.9,4.627
177,61-32-5,O=C(O)C3N2C(=O)C(NC(=O)c1c(OC)cccc1(OC))C2SC3(C)(C),Training,1.22,2.1848
178,61-33-6,O=C(O)C3N2C(=O)C(NC(=O)Cc1ccccc1)C2SC3(C)(C),Training,1.83,1.608
179,61-54-1,NCCc2c[nH]c1ccccc12,Training,1.55,1.6222
180,61-57-4,O=C1NCCN1c2ncc([N+](=O)[O-])s2,Training,0.95,0.425
181,61-68-7,O=C(O)c2ccccc2(Nc1cccc(c1C)C),Training,5.12,4.2673
182,61-72-3,O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2Cl)C3SC4(C)(C),Training,2.48,3.5283
183,61-78-9,O=C(O)CNC(=O)c1ccc(N)cc1,Training,-0.89,-0.4587
184,61-80-3,n1c(oc2ccc(cc12)Cl)N,Training,2.46,1.446
185,61-82-5,n1c[nH]nc1N,Training,-0.86,-1.6786
186,61-90-5,O=C(O)C(N)CC(C)C,Training,-1.52,-1.5906
187,62-23-7,O=C(O)c1ccc(cc1)[N+](=O)[O-],Training,1.89,1.6921
189,62-38-4,O=C(O[Hg]c1ccccc1)C,Training,0.71,0.8898
190,62-44-2,O=C(Nc1ccc(OCC)cc1)C,Training,1.58,1.6717
191,62-53-3,Nc1ccccc1,Training,0.9,1.076
192,62-56-6,NC(N)=S,Training,-1.08,-1.3101
193,62-67-9,Oc5ccc4c1c5(OC2C(O)C=CC3C(N(CC=C)CCC123)C4),Training,1.86,2.5876
194,62-73-7,O=P(OC=C(Cl)Cl)(OC)OC,Training,1.47,0.6029
195,62-75-9,O=NN(C)C,Training,-0.57,-0.6386
196,63-05-8,O=C3C=C2CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3),Training,2.75,2.8113
197,63-25-2,O=C(Oc1cccc2ccccc12)NC,Training,2.36,2.3484
198,63-68-3,O=C(O)C(N)CCSC,Training,-1.87,-2.4127
199,63-74-1,O=S(=O)(N)c1ccc(N)cc1,Training,-0.62,-0.5467
200,63-75-2,O=C(OC)C1=CCCN(C)C1,Training,0.35,0.7813
201,63-91-2,O=C(O)C(N)Cc1ccccc1,Training,-1.41,-1.5052
202,63-98-9,O=C(N)NC(=O)Cc1ccccc1,Training,0.87,-0.1278
203,63-99-0,O=C(N)Nc1cccc(c1)C,Training,1.29,1.2538
204,64-00-6,O=C(Oc1cccc(c1)C(C)C)NC,Training,2.63,2.6284
205,64-04-0,NCCc1ccccc1,Training,1.41,1.3378
206,64-10-8,O=C(N)Nc1ccccc1,Training,0.83,0.7065
207,64-13-1,O(c1ccc(cc1)CC(N)C)C,Training,1.77,1.8363
208,64-17-5,OCC,Training,-0.31,-0.1412
209,64-18-6,O=CO,Training,-0.54,-1.1796
210,64-19-7,O=C(O)C,Training,-0.17,0.0868
211,64-39-1,O=C(OC2(c1ccccc1)(CC(N(C)CC2(C))C))CC,Training,3.13,3.8631
212,64-77-7,O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C,Training,2.34,2.4059
213,64-85-7,O=C4C=C3CCC1C(CCC2(C)(C(C(=O)CO)CCC12))C3(C)CC4,Training,2.88,2.2552
214,64-86-8,O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C),Training,1.3,2.1405
215,65-23-6,Oc1c(ncc(c1CO)CO)C,Training,-0.77,-0.557
216,65-45-2,O=C(N)c1ccccc1(O),Training,1.28,1.0349
217,65-46-3,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O),Training,-2.51,-0.8878
218,65-49-6,O=C(O)c1ccc(N)cc1(O),Training,0.89,2.0962
219,65-85-0,O=C(O)c1ccccc1,Training,1.87,1.8744
220,66-25-1,O=CCCCCC,Training,1.78,1.7985
221,66-28-4,O=CC45(CCC(O)CC5(O)(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)CCC23(O))))),Training,0.64,0.4902
222,66-71-7,n2cccc3ccc1cccnc1c23,Training,1.78,1.968
223,66-79-5,O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2)C3SC4(C)(C),Training,2.38,2.8838
224,66-81-9,O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2,Training,0.55,0.0755
225,66-97-7,O=C1Oc2cc3occc3(cc2(C=C1)),Training,1.67,2.3554
226,67-20-9,O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-]),Training,-0.47,0.8345
227,67-51-6,n1[nH]c(cc1C)C,Training,1.01,1.1532
228,67-52-7,O=C1NC(=O)CC(=O)N1,Training,-1.47,-0.0839
229,67-56-1,OC,Training,-0.77,-0.6323
230,67-63-0,OC(C)C,Training,0.05,0.2764
231,67-64-1,O=C(C)C,Training,-0.24,-0.235
232,67-66-3,C(Cl)(Cl)Cl,Training,1.97,1.521
233,67-68-5,O=S(C)C,Training,-1.35,-1.2223
234,67-71-0,O=S(=O)(C)C,Training,-1.41,-1.1056
235,67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Training,4.14,4.0348
236,67-73-2,O=C1C=CC4(C(=C1)C(F)CC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34(F)))(C)C)(C),Training,2.48,2.2962
237,67-78-7,O=C(OCC(=O)C3(O)(C(OC(=O)C)CC2C4CCC1=CC(=O)C=CC1(C)C4(F)(C(O)CC23(C))))C,Training,1.92,1.5653
238,68-11-1,O=C(O)CS,Training,0.09,0.0305
239,68-12-2,O=CN(C)C,Training,-1.01,-0.5087
240,68-22-4,O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C#C))))C3CC4,Training,2.97,3.3088
241,68-26-8,OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C,Training,5.68,7.6249
242,68-35-9,O=S(=O)(Nc1ncccn1)c2ccc(N)cc2,Training,-0.09,-0.3377
243,68-36-0,c1cc(ccc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,Training,4.62,5.7988
