Id	CAS	SMILES	Status	Experimental value [log(L/kg)]	Predicted value [log(L/kg)]
1	3074-71-3	CCCCC(C)C(C)C	Test	3.32	3.2263682
2	111-84-2	CCCCCCCCC	Training	3.15	3.2227833
3	126690-66-2	C(=C(C)CC(C)C)C(C)C	Training	3.29	2.8102992
4	872-05-9	C=CCCCCCCCC	Test	3.22	3.2848167
5	123-48-8	C(=C(C)CC(C)(C)C)C(C)(C)C	Training	3.29	3.1081998
6	13475-82-6	CC(CC(C)(C)C)CC(C)(C)C	Training	3.56	3.3035953
7	13150-81-7	CCCCC(C)CCCC(C)C	Training	3.18	3.3341832
8	112-41-4	C=CCCCCCCCCCC	Training	3.4	3.335804
9	112-40-3	CCCCCCCCCCCC	Training	3.23	3.3284748
10	25339-17-7	OCCCCCCCC(C)C	Training	2.51	1.6639895
11	27458-92-0	OCCCCCCCCCCC(C)C	Training	2.73	2.2588565
12	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	2.5	1.7848322
13	496-10-6	C1CCC2CCCC2(C1)	Training	2.91	2.9037254
14	493-02-7	C1CCC2CCCCC2(C1)	Training	3.52	3.1740205
15	933-12-0	C1=CC(C)CC(C)(C)C1	Training	2.87	2.0854125
16	1839-63-0	CC1CC(C)CC(C)C1	Test	3.34	2.9407446
17	50876-32-9	CC1CC(C)CC(C)(C)C1	Training	3.65	3.135481
18	1678-98-4	CC(C)CC1CCCCC1	Training	3.3	3.1813204
19	91-20-3	c1ccc2ccccc2(c1)	Training	2.5	2.4835248
20	91-57-6	c1ccc2cc(ccc2(c1))C	Test	2.41	2.7242875
21	581-40-8	c1ccc2cc(c(cc2(c1))C)C	Training	2.71	2.9130242
22	575-41-7	c1ccc2c(c1)cc(cc2C)C	Training	2.91	2.9091575
23	829-26-5	c1cc(cc2cc(c(cc12)C)C)C	Training	3.0	3.0543187
24	108-67-8	c1c(cc(cc1C)C)C	Training	2.55	2.177187
25	488-23-3	c1cc(c(c(c1C)C)C)C	Training	2.82	2.5708878
26	4175-54-6	c1ccc2c(c1)C(C)CCC2C	Training	3.12	3.028968
27	25567-40-2	Oc1ccc(cc1C(C)(C)C)C	Training	2.87	1.8028622
28	208-96-8	c1cc2cccc3C=Cc(c1)c23	Training	2.11	2.8497157
29	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	2.78	3.026964
