Id;CAS;SMILES;Status;Experimental value [-log(mol/l)];Predicted value [-log(mol/l)];;;Testing Molecule;Training Molecule;Similarity score;Accuracy(pred);Concordance;Max Error;Atom Centered;Descriptor Range 
1;112-05-0;CCCCCCCCC(O)=O;Test;3.28;3.769.513;;;CCCCCCCCC(O)=O;CCCCCCCC\C=C/CCCCCCCC(O)=O;0.739;0.65;1.301;;;
2;53939-28-9;CCCC\C=C/CCCCCCCCCC=O;Training;6.04;5.874.611;;;CCCCOC(C)COC(=O)COC1=C(Cl)C=C(Cl)C=C1;CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1;0.68;0.515;1.03;;;
3;118-52-5;CC1(C)N(Cl)C(=O)N(Cl)C1=O;Training;6.32;40.875.854;;;CCCCCCCCN1SC(Cl)=C(Cl)C1=O;CCCCCCCCN1SC=CC1=O;0.447;0.411;0.823;;;
4;542-75-6;[H]\C(Cl)=C(\[H])C([H])([H])Cl;Training;6.95;56.377.754;;;ClC(Cl)(Cl)S(=O)(=O)C(Cl)(Cl)Cl;CC(Cl)(Cl)Cl;0.230;1.023;2.047;;;
5;86-87-3;OC(=O)CC1=C2C=CC=CC2=CC=C1;Training;3.03;38.379.107;;;CCCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N;CCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N;1.0;0.175;0.350;;;
6;94-75-7;OC(=O)COC1=C(Cl)C=C(Cl)C=C1;Training;4.21;38.758.335;;;CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2;CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2;0.590;0.228;0.456;;;
8;1320-18-9;CCCCOC(C)COC(=O)COC1=C(Cl)C=C(Cl)C=C1;Test;6.13;61.940.103;;;CC1=C(SCCO1)C(=O)NC1=CC=CC=C1;O=C(NC1=CN=NS1)NC1=CC=CC=C1;0.306;0.099;0.199;;;
10;1929-73-3;CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1;Training;5.11;61.314.225;;;COC1=CC(Cl)=C(OC)C=C1Cl;OC1=CC(Cl)=CC=C1OC1=C(Cl)C=C(Cl)C=C1;0.3;0.068;0.136;;;
13;120-32-1;OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1;Training;6.29;4.348.823;;;COP(=S)(OC)OC1=C(Cl)C=C(Cl)C(Cl)=N1;OC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl;0.384;2.765;5.53;;;
14;7745-89-3;CC1=C(Cl)C=C(N)C=C1;Training;7.36;5.125.755;;;ClC1=CC=CC(Cl)=C1C#N;ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl;0.409;0.393;0.787;;;
16;64359-81-5;CCCCCCCCN1SC(Cl)=C(Cl)C1=O;Test;9.05;5.835.041;;;COP(=O)(OC)O\C(C)=C\C(=O)N(C)C;CCN(CC)C(=O)C(\Cl)=C(\C)OP(=O)(OC)OC;0.365;0.479;0.959;;;
17;88-04-0;CC1=CC(O)=CC(C)=C1Cl;Training;4.68;39.985.647;;;CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1;CN1C=C(C2=CC=CC=C2)C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F;0.255;0.576;1.152;;;
20;34256-82-1;CCOCN(C(=O)CCl)C1=C(C)C=CC=C1CC;Training;4.94;4.512.822;;;OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)SC2=CC=CC=C12;OC(CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O)C1=CC=C(C=C1)C1=CC=C(Br)C=C1;0.266;0.642;1.284;;;
21;15972-60-8;CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl;Training;4.42;44.883.814;;;O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=C(C=CC=C2)C1=O;ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1;0.8125;0.376;0.753;;;
22;116-06-3;CNC(=O)O\N=C\C(C)(C)SC;Training;6.41;52.456.427;;;CSC(=O)C1=C(CC(C)C)C(C(=O)SC)=C(N=C1C(F)(F)F)C(F)F;COC(=O)C1=C(N=C(C(C2=NCCS2)=C1CC(C)C)C(F)(F)F)C(F)F;0.466;0.440;0.881;;;
23;1646-88-4;CNC(=O)O\N=C\C(C)(C)S(C)(=O)=O;Training;6.71;43.644.886;;;CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1;CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1;0.326;0.265;0.530;;;
25;834-12-8;CCNC1=NC(NC(C)C)=NC(SC)=N1;Training;4.16;45.678.124;;;CC1(C)CN\C(NC1)=N\N=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F;CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F;0.224;0.574;1.148;;;
26;33089-61-1;CN(\C=N\C1=CC=C(C)C=C1C)\C=N\C1=C(C)C=C(C)C=C1;Training;8.01;6.128.614;;;CSC1=NC(NC2CC2)=NC(NC(C)(C)C)=N1;CCNC1=NC(NC(C)C)=NC(SC)=N1;0.348;0.527;1.055;;;
27;101-05-3;ClC1=NC(NC2=C(Cl)C=CC=C2)=NC(Cl)=N1;Training;6.07;55.240.088;;;CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O;CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O;0.6;0.321;0.643;;;
30;22781-23-3;CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2;Training;7.96;47.072.473;;;C\C(C)=C/CC\C(C)=C\CCC(C)(O)C=C;C\C(C)=C\CC\C(C)=C\CC\C(C)=C\CO;0.516;0.215;0.430;;;
32;741-58-2;CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1;Training;6.63;73.761.296;;;[H][C@](CC1=CC=C(Cl)C=C1)([C@@H](O)C(C)(C)C)N1C=NC=N1;CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1;0.442;0.039;0.078;;;
33;68359-37-5;CC1(C)[C@@H](\C=C(\Cl)Cl)[C@H]1C(=O)O[C@H](C#N)C1=CC(OC2=CC=CC=C2)=C(F)C=C1;Training;11.3;9.263.448;;;CSC1=NC(NC(C)C)=NC(NC(C)C)=N1;CCNC1=NC(NC(C)C)=NC(SC)=N1;0.75;0.545;1.09;;;
34;3064-70-8;ClC(Cl)(Cl)S(=O)(=O)C(Cl)(Cl)Cl;Test;7.14;57.835.736;;;CCCC(=N/OCC)\C1=C(O)CC(CC(C)SCC)CC1=O;CCOC(=O)C(C)OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3O2)C=C1;0.197;0.560;1.121;;;
35;314-40-9;CCC(C)N1C(=O)NC(C)=C(Br)C1=O;Training;3.42;44.887.347;;;SC1=NC2=C(S1)C=CC=C2;N#CSCSC1=NC2=CC=CC=C2S1;0.405;0.749;1.499;;;
