Id,CAS,SMILES,Status,Experimental value [-log(mol/l)],Predicted value [-log(mol/l)]
1,50-28-2,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34),Training,4.96,4.2210083
2,52-68-6,O=P(OC)(OC)C(O)C(Cl)(Cl)Cl,Training,9.09,6.274403
3,55-63-0,O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-],Training,3.85,2.6708877
4,56-23-5,C(Cl)(Cl)(Cl)Cl,Training,3.64,4.355014
5,56-53-1,Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC,Training,5.37,4.196208
6,57-74-9,C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,6.62,6.2985616
7,58-14-0,n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N,Training,4.63,4.6713133
8,59-50-7,Oc1ccc(c(c1)C)Cl,Training,4.85,4.0182495
9,60-51-5,O=C(NC)CSP(OC)(OC)=S,Training,5.14,8.091658
10,62-53-3,Nc1ccccc1,Training,5.41,4.086374
11,62-55-5,NC(C)=S,Training,3.64,4.018085
12,62-56-6,NC(N)=S,Training,3.93,3.533364
13,62-73-7,O=P(OC=C(Cl)Cl)(OC)OC,Training,9.42,6.759508
14,64-17-5,OCC,Training,0.59,2.1778297
15,67-56-1,OC,Training,0.99,1.7725362
16,67-68-5,O=S(C)C,Training,0.5,1.229173
17,67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Training,4.94,4.865872
18,68-12-2,O=CN(C)C,Training,0.71,2.2725842
19,71-23-8,OCCC,Training,0.94,1.8561805
20,71-43-2,c1ccccc1,Training,2.45,3.6047792
21,71-55-6,CC(Cl)(Cl)Cl,Training,4.08,4.0606627
22,72-43-5,O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C,Training,7.34,6.7417903
23,74-83-9,CBr,Training,4.64,3.2578
24,75-08-1,CCS,Training,5.56,5.8172445
25,75-09-2,C(Cl)Cl,Training,2.59,3.014974
26,75-21-8,O1CC1,Training,2.34,2.6250644
27,75-25-2,C(Br)(Br)Br,Training,3.74,5.464141
28,75-35-4,C=C(Cl)Cl,Training,3.33,3.6961844
29,76-01-7,C(C(Cl)(Cl)Cl)(Cl)Cl,Training,4.4,5.0101647
30,77-73-6,C2=CC3C1C=CC(C1)C3(C2),Training,4.1,4.2976937
31,78-11-5,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],Training,1.57,2.856381
32,78-59-1,O=C1C=C(C)CC(C)(C)C1,Training,3.06,4.4816422
33,78-83-1,OCC(C)C,Training,1.83,2.0232756
34,78-87-5,CC(CCl)Cl,Training,3.31,2.875055
35,79-00-5,C(C(Cl)Cl)Cl,Training,3.49,3.5986788
36,79-01-6,C(=C(Cl)Cl)Cl,Training,3.38,4.396769
37,79-06-1,O=C(N)C=C,Training,2.65,3.0560758
38,79-09-4,O=C(O)CC,Training,3.17,2.3024466
39,79-92-5,C=C2C1CCC(C1)C2(C)C,Training,3.79,4.226702
40,80-05-7,Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C,Training,4.25,4.0250344
41,80-56-8,C1=C(C)C2CC(C1)C2(C)(C),Training,3.52,4.32627
42,82-71-3,O=[N+]([O-])c1cc(c(O)c(c1(O))[N+](=O)[O-])[N+](=O)[O-],Training,1.56,2.5412037
43,83-42-1,O=[N+]([O-])c1cccc(c1C)Cl,Training,4.61,3.7839818
44,83-79-4,O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34),Training,8.03,6.7110763
45,84-66-2,O=C(OCC)c1ccccc1(C(=O)OCC),Training,3.61,4.996518
46,84-74-2,O=C(OCCCC)c1ccccc1(C(=O)OCCCC),Training,4.88,5.3225727
47,86-30-6,O=NN(c1ccccc1)c2ccccc2,Training,4.41,4.85259
48,88-72-2,O=[N+]([O-])c1ccccc1C,Training,4.14,4.171198
49,88-73-3,O=[N+]([O-])c1ccccc1Cl,Training,3.64,3.6307662
50,88-75-5,O=[N+]([O-])c1ccccc1(O),Training,4.02,3.8883412
51,88-85-7,O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-],Training,6,4.498882
52,88-89-1,O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-],Training,3.43,3.7627897
53,89-59-8,O=[N+]([O-])c1cc(ccc1C)Cl,Training,4.27,3.9436827
54,89-61-2,O=[N+]([O-])c1cc(ccc1Cl)Cl,Training,4.24,4.158481
55,90-02-8,O=Cc1ccccc1(O),Training,4.47,3.9502048
