Id,CAS,SMILES,Status,Experimental value [log(cm/h)],Predicted value [log(cm/h)],GNN_status
1,50-22-6,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO,Training,-4.0222,-3.4265726,Test
2,1116-54-7,OCCN(CCO)N=O,Training,-5.11415,-4.2197886,Train
3,36322-90-4,CN1C(C(=O)NC2=NC=CC=C2)C(=O)C3=C(C=CC=C3)S1(=O)=O,Training,-3.63123,-3.7525854,Test
4,51-55-8,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,Training,-4.71563,-3.2429063,Valid
5,87-66-1,O=C1CCCC(=O)C1=O,Training,-2.94913,-3.657383,Test
6,108-46-3,O=C1CC=CC(=O)C1,Training,-3.34596,-3.364406,Train
7,64-17-5,CCO,Training,-3.07103,-2.9873922,Train
8,120-83-2,OC1=C(Cl)C=C(Cl)C=C1,Training,-1.18346,-1.6409968,Train
9,100-66-3,COC1=CC=CC=C1,Training,-1.41421,-2.0718262,Train
10,69-65-8,OCC(O)C(O)C(O)C(O)CO,Training,-4.55049,-5.89786,Valid
11,36-06-6,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(CCC5(O)C4CCC3(O)C2)C6=COC(O)=C6)C(O)C(O)C1O,Training,-6.02062,-7.491817,Train
12,64-19-7,CC(O)=O,Training,-2.80026,-3.2292364,Train
13,74103-06-3,OC(=O)C1CCN2C1=CC=C2C(=O)C3=CC=CC=C3,Training,-2.41457,-2.1995826,Test
14,67-56-1,CO,Training,-3.21524,-3.1494794,Train
15,71-41-0,CCCCCO,Training,-2.14502,-2.2244442,Train
16,51-21-8,FC1=CNC(=O)NC1=O,Training,-4.57786,-4.275868,Valid
17,78-93-3,CCC(C)=O,Training,-2.49867,-2.8394275,Train
18,378-44-9,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,Training,-3.90422,-3.927418,Train
19,437-38-7,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3,Training,-2.17579,-2.0273817,Valid
20,99-76-3,COC(=O)C1=CC=C(O)C=C1,Training,-1.93276,-2.6208532,Train
21,53-86-1,COC1=CC2=C(C=C1)N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C2CC(O)=O,Training,-3.51304,-1.8925744,Test
22,58-55-9,CN1C2=C(NC=N2)C(=O)N(C)C1=O,Training,-3.64685,-4.0169244,Train
23,94-09-7,CCOC(=O)C1=CC=C(N)C=C1,Training,-1.44913,-2.7934234,Train
24,117-81-7,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,Training,-1.25784,0.29578498,Test
25,65-85-0,OC(=O)C1=CC=CC=C1,Training,-1.81644,-2.4262054,Train
26,59-50-7,CC1=C(Cl)C=CC(O)=C1,Training,-1.20251,-1.643095,Train
27,137-58-6,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,Training,-2.27246,-2.1135204,Train
28,90-89-1,CCN(CC)C(=O)N1CCN(C)CC1,Training,-3.84381,-3.6065168,Train
29,601-05-8,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,Training,-4.08168,-3.1185036,Train
30,64-85-7,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO,Training,-3.30041,-2.4988558,Test
31,88-06-2,OC1=C(Cl)C=C(Cl)C=C1Cl,Training,-1.16399,-1.3792576,Train
32,145-13-1,CC(=O)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C,Training,-2.77315,-2.2097967,Train
33,53-16-7,CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2=O,Training,-2.4045,-1.6699406,Test
34,100-02-7,OC1=CC=C(C=C1)[N+]([O-])=O,Training,-2.17907,-2.5139096,Train
35,68-96-2,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,Training,-3.16769,-2.6954548,Train
36,12041-98-4,CC(=O)C1CCC2C3CCC4=CC(O)(O)CCC4(C)C3CCC12C,Training,-3.16749,-2.6180775,Train
37,554-84-7,OC1=CC(=CC=C1)[N+]([O-])=O,Training,-2.1904,-2.5139096,Train
38,141505-33-1,CC1=CC(=O)NN=C1C2=CC=C(NNC(C#N)C#N)C=C2,Training,-2.68185,-3.4031947,Test
39,100-52-7,O=CC1=CC=CC=C1,Training,-0.89055,-2.2187126,Train
40,60-12-8,OCCC1=CC=CC=C1,Training,-1.55845,-2.3468862,Train
41,598-56-1,CCN(C)C,Training,-2.51382,-2.6714885,Train
42,120-80-9,O=C1CCC=CC1=O,Training,-2.59092,-3.0652122,Train
43,100-51-6,OCC1=CC=CC=C1,Training,-2.11617,-2.4893773,Train
44,51-34-3,CN1C2CC(CC1C3OC23)OC(=O)C(CO)C4=CC=CC=C4,Training,-4.27947,-3.9651365,Train
45,619-45-4,COC(=O)C1=CC=C(N)C=C1,Training,-1.4158,-2.9555106,Valid
46,95-48-7,CC1=C(O)C=CC=C1,Training,-1.79745,-1.9048343,Train
47,525-66-6,CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1,Training,-2.72858,-2.4782705,Train
48,108-39-4,CC1=CC(O)=CC=C1,Training,-1.81525,-1.9048343,Train
49,111-76-2,CCCCOCCO,Training,-2.60548,-2.8242888,Train
50,106-44-5,CC1=CC=C(O)C=C1,Training,-1.76024,-1.9048343,Train
51,111-27-3,CCCCCCO,Training,-1.79932,-1.9861029,Test
52,132-22-9,CN(C)CCC(C1=CC=C(Cl)C=C1)C2=NC=CC=C2,Training,-2.64334,-1.7520403,Train
53,56030-54-7,CCC(=O)N(C1=CC=CC=C1)C2(COC)CCN(CCC3=CC=CS3)CC2,Training,-2.04435,-2.7642052,Test
54,108-95-2,OC1=CC=CC=C1,Training,-1.9186,-2.1644754,Test
55,57-50-1,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Training,-5.24085,-7.846761,Train
56,111-87-5,CCCCCCCCO,Training,-1.22676,-1.5094208,Test
57,94-25-7,CCCCOC(=O)C1=CC=C(N)C=C1,Training,-1.0158,-2.2688162,Test
58,299-42-3,CNC(C)C(O)C1=CC=CC=C1,Training,-2.19539,-2.8315382,Train
59,614-18-6,CCOC(=O)C1=CN=CC=C1,Training,-2.16305,-2.9947026,Train
60,530-78-9,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1,Training,-2.75685,-1.6270474,Valid
61,123-07-9,CCC1=CC=C(O)C=C1,Training,-1.43431,-1.6664932,Train
62,94-44-0,O=C(OCC1=CC=CC=C1)C2=CN=CC=C2,Training,-1.73332,-2.4966877,Test
63,106-41-2,OC1=CC=C(Br)C=C1,Training,-1.42101,-2.1141777,Train
64,95-65-8,CC1=C(C)C=C(O)C=C1,Training,-1.41415,-1.6451932,Valid
65,14521-96-1,CCCC(C)(O)C1CC23C=CC1(OC)C4OC5=C(O)C=CC6=C5C24CCN(C)C3C6,Training,-2.41139,-3.3416367,Test
66,03/06/6938,CCCCOC(=O)C1=CN=CC=C1,Training,-1.72182,-2.4700954,Train
67,106-48-9,OC1=CC=C(Cl)C=C1,Training,-1.38054,-1.9027361,Test
68,143-08-8,CCCCCCCCCO,Training,-1.19655,-1.2710798,Train
69,95-57-8,OC1=C(Cl)C=CC=C1,Training,-1.4563,-1.9027361,Test
70,110-80-5,CCOCCO,Training,-3.54,-3.348896,Train
71,23597-82-2,CCCCCCOC(=O)C1=CN=CC=C1,Training,-1.68614,-1.9934132,Train
72,111-70-6,CCCCCCCO,Training,-1.47443,-1.7477618,Train
73,57-27-2,CN1CCC23C4OC5=C(O)C=CC(CC1C2CCC4=O)=C35,Training,-4.95681,-3.263968,Train
74,135-19-3,OC1=CC2=C(C=CC=C2)C=C1,Training,-1.53558,-1.8248681,Train
75,77-28-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,Training,-3.69886,-2.8182461,Train
76,50-06-6,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Training,-3.32228,-3.1790292,Test
77,57-44-3,CCC1(CC)C(=O)NC(=O)NC1=O,Training,-3.93217,-3.2949283,Train
78,99-57-0,NC1=C(O)C=CC(=C1)[N+]([O-])=O,Training,-3.13131,-3.1358638,Valid
79,119-34-6,NC1=CC(=C(O)C=C1)[N+]([O-])=O,Training,-2.50861,-3.1358638,Train
80,94-26-8,CCCCOC(=O)C1=CC=C(O)C=C1,Training,-0.9158,-1.9341589,Train
81,50-78-2,CC(=O)OC1=C(C=CC=C1)C(O)=O,Training,-2.10689,-2.9448502,Train
82,5307-14-2,NC1=CC(=C(N)C=C1)[N+]([O-])=O,Training,-3.22618,-3.4705212,Train
83,110-49-6,COCCOC(C)=O,Training,-2.64185,-3.498091,Train
84,51803-78-2,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O,Training,-2.89185,-2.6585255,Train
85,123-31-9,O=C1CCC(=O)C=C1,Training,-2.85185,-3.364406,Train
86,41340-25-4,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(O)=O,Training,-2.02185,-1.8272957,Test
87,18979-50-5,CCCOC1=CC=C(O)C=C1,Training,-1.72185,-1.9107699,Train
88,109-59-1,CC(C)OCCO,Training,-3.25185,-3.166432,Train
89,57-43-2,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,Training,-2.62002,-2.725029,Test
90,66357-35-5,CNC(C[N+]([O-])=O)=NCCSCC1=CC=C(CN(C)C)O1,Training,-3.95185,-3.352954,Train
91,76963-41-2,CNC(C[N+]([O-])=O)=NCCSCC1=CSC(CN(C)C)=N1,Training,-4.32185,-3.7385256,Train
92,119-36-8,COC(=O)C1=C(O)C=CC=C1,Training,-1.34185,-2.6208532,Train
93,107-98-2,COCC(C)O,Training,-2.74185,-3.3285189,Train
94,76824-35-6,NC(=N)NC1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1,Training,-4.69185,-5.6552906,Test
95,147-94-4,NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O,Training,-5.20185,-5.884702,Train
96,108-73-6,O=C1CC(=O)CC(=O)C1,Training,-2.41185,-3.956577,Train
97,767-00-0,OC1=CC=C(C=C1)C#N,Training,-2.07185,-2.403294,Valid
98,88-18-6,CC(C)(C)C1=C(O)C=CC=C1,Training,-1.02185,-1.5124351,Train
99,1638-22-8,CCCCC1=CC=C(O)C=C1,Training,-1.01185,-1.189811,Train
100,1219-38-1,CCCCCCCCOC(=O)C1=CC=C(O)C=C1,Training,-1.93432,-0.9807946,Train
101,24347-58-8,CC(O)C(C)O,Training,-4.34477,-3.350529,Train
102,71-43-2,C1=CC=CC=C1,Training,-0.88712,-1.8771785,Train
103,126-07-8,COC1=CC(OC)=C2C(=O)C3(OC2=C1Cl)C(C)CC(=O)C=C3OC,Training,-2.82672,-3.311035,Train
104,65141-46-0,[O-][N+](=O)OCCNC(=O)C1=CN=CC=C1,Training,-3.62524,-3.7651608,Train
105,71-23-8,CCCO,Training,-2.84215,-2.701126,Test
106,109-52-4,CCCCC(O)=O,Training,-2.67321,-2.3646162,Train
107,107-92-6,CCCC(O)=O,Training,-2.9801,-2.6029572,Test
108,91-64-5,O=C1OC2=C(C=CC=C2)C=C1,Training,-1.99625,-2.242302,Train
109,1910-42-5,C[N+]1=CC=C(C=C1)C2=CC=[N+](C)C=C2,Training,-5.08016,-2.9479156,Train
110,124-48-1,ClC(Br)Br,Training,-0.75685,-2.5323658,Train
111,75-27-4,ClC(Cl)Br,Training,-0.79685,-2.4059823,Train
112,75-25-2,BrC(Br)Br,Training,-0.72685,-2.6587493,Train
113,513-88-2,CC(=O)C(Cl)Cl,Training,-1.41685,-2.802648,Test
114,88-04-0,CC1=C(C)C(O)=C(Cl)C=C1,Training,-1.2333,-1.383454,Train
115,93-60-7,COC(=O)C1=CN=CC=C1,Training,-2.45916,-3.1567895,Test
116,95-54-5,NC1=C(N)C=CC=C1,Training,-3.3156,-3.1210868,Train
117,106-50-3,NC1=CC=C(N)C=C1,Training,-3.59495,-3.1210868,Train
118,89-83-8,CC(C)C1=C(O)C=C(C)C=C1,Training,-1.27531,-1.313635,Train
119,142-62-1,CCCCCC(O)=O,Training,-1.86324,-2.126275,Test
120,124-07-2,CCCCCCCC(O)=O,Training,-1.60043,-1.649593,Train
121,58-15-1,CN(C)C1=C(C)N(C)N(C1=O)C2=CC=CC=C2,Training,-2.96913,-3.1332564,Train
122,156-38-7,OC(=O)CC1=CC=C(O)C=C1,Training,-2.57685,-2.7743552,Train
123,57-13-6,NC(N)=O,Training,-3.82372,-3.806631,Train
124,94-13-3,CCCOC(=O)C1=CC=C(O)C=C1,Training,-1.85801,-2.1725001,Train
125,58-54-8,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,Training,-3.80794,-1.6003387,Valid
126,333-41-5,CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,Training,-2.05489,-2.3429193,Train
127,119-65-3,C1=CC2=C(C=C1)C=NC=C2,Training,-1.77667,-2.3608046,Test
128,100-42-5,C=CC1=CC=CC=C1,Training,-0.18728,-1.6442977,Test
129,1570-64-5,CC1=C(O)C=CC(Cl)=C1,Training,-1.26333,-1.643095,Train
130,3593-96-2,CCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,Training,-1.74618,-2.930367,Train
131,107085-84-7,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)COC(=O)CCCCCC(O)=O,Training,-2.74618,-3.799888,Valid
132,1071-83-6,OC(=O)CNCP(O)(O)=O,Training,-3.33409,-5.1985784,Train
133,63659-18-7,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,Training,-2.73685,-2.7451565,Train
134,71-55-6,CC(Cl)(Cl)Cl,Training,-2.3481,-2.0725687,Test
135,55-63-0,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,Training,-1.95895,-3.0262134,Test
136,71-63-6,CC1OC(CC(O)C1O)OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC7(C)C(CCC67O)C8=COC(O)=C8)C4)OC3C)OC2C,Training,-4.88842,-4.8480663,Train
137,114593-85-0,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)COC(=O)CCC(N)=O,Training,-4.58834,-4.9368987,Train
138,111-14-8,CCCCCCC(O)=O,Training,-1.70082,-1.8879341,Train
139,74253-50-2,CN(C)C(=O)CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,Training,-4.17196,-4.8156424,Train
140,509-60-4,CN1CCC23C4OC5=C(O)C=CC(CC1C2CCC4O)=C35,Training,-4.82188,-3.2482188,Train
141,59-67-6,OC(=O)C1=CN=CC=C1,Training,-4.6218,-3.2494388,Train
142,3018-12-0,ClC(Cl)C#N,Training,-0.82185,-2.4943109,Train
143,3252-43-5,BrC(Br)C#N,Training,-0.77185,-2.7361438,Train
144,83463-62-1,ClC(Br)C#N,Training,-0.79185,-2.6152272,Train
145,50-24-8,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,Training,-4.35185,-4.050397,Test
146,52-31-3,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,Training,-3.09185,-2.9034326,Valid
147,2152-44-5,CCCCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)CO,Training,-2.94185,-3.0499058,Train
148,72-69-5,CNCCCC1=C2C=CC=CC2=CCC3=C1C=CC=C3,Training,-2.88185,-1.6586359,Train
149,2687-94-7,CCCCCCCCN1CCCC1=O,Training,-1.27185,-1.7818403,Train
