Id,CAS,SMILES,Status,Experimental value [log(L/kg)],Predicted value [log(L/kg)],GNN_status
1,50-29-3,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,Training,3.605,4.2177205,Train
2,50-30-6,O=C(O)c1c(cccc1Cl)Cl,Training,-0.222,0.33857504,Train
3,50-31-7,O=C(O)c1c(ccc(c1Cl)Cl)Cl,Training,0.073,0.7908628,Train
4,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,Training,2.731,2.5306149,Train
5,51-28-5,O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-],Training,0.052,0.48300508,Test
6,51-44-5,O=C(O)c1ccc(c(c1)Cl)Cl,Training,-0.169,0.31887564,Train
7,53-70-3,c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45,Training,2.8,2.5169392,Train
8,55-38-9,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S,Training,2.26,1.0098987,Train
9,56-23-5,C(Cl)(Cl)(Cl)Cl,Training,1.03,1.132309,Train
10,56-35-9,O([Sn](CCCC)(CCCC)CCCC)[Sn](CCCC)(CCCC)CCCC,Training,3.994,2.3110518,Valid
11,56-38-2,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,Training,2.106,1.7381686,Train
12,56-55-3,c3ccc4cc2c(ccc1ccccc12)cc4(c3),Training,2.54,2.5235095,Train
13,57-15-8,OC(C)(C)C(Cl)(Cl)Cl,Training,0.301,0.47430846,Train
14,58-90-2,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,Training,2.006,2.2926073,Train
15,59-50-7,Oc1ccc(c(c1)C)Cl,Training,1.016,1.0366355,Train
16,60-29-7,O(CC)CC,Training,0.475,0.50425893,Train
17,60-51-5,O=C(NC)CSP(OC)(OC)=S,Training,0.156,-0.37310997,Train
18,61-82-5,n1c[nH]nc1N,Training,-0.016,0.08825128,Train
19,62-44-2,O=C(Nc1ccc(OCC)cc1)C,Training,0.977,0.3593845,Train
20,62-53-3,Nc1ccccc1,Training,0.307,0.7832885,Train
21,62-56-6,NC(N)=S,Training,-0.199,-0.17397623,Train
22,62-73-7,O=P(OC=C(Cl)Cl)(OC)OC,Training,-0.199,-0.029633923,Train
23,66-81-9,O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2,Training,-0.038,0.7585133,Test
24,67-66-3,C(Cl)(Cl)Cl,Training,0.799,0.810039,Train
26,67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Training,2.115,1.3081535,Train
27,68-12-2,O=CN(C)C,Training,-0.107,0.17160702,Test
29,71-55-6,CC(Cl)(Cl)Cl,Training,0.475,1.1306868,Train
30,72-55-9,c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl,Training,4.51,3.9029944,Test
31,74-31-7,c1ccc(cc1)Nc2ccc(cc2)Nc3ccccc3,Training,3.133,2.4182556,Train
